video_id,url,title,channel,claim_number,claim,narrative
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",1,"A 2010 clinical trial involving 50 SIBO patients found that a probiotic blend (Bifidobacterium and Lactobacillus) led to 82% symptomatic improvement after 5 days, compared to 52% with the antibiotic metronidazole.",Data-Driven
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",2,"A meta-analysis of 43 randomized controlled trials concluded that probiotics are most effective for IBS symptoms (gas, bloating, abdominal pain, altered bowel function) when used for two to three months, rather than shorter durations.",Data-Driven
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",3,A randomized controlled trial in constipated patients observed that probiotic benefits for bowel function began to show significant improvement only after day 60 (two months of use).,Data-Driven
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",4,"For treating constipation, a probiotic duration of 2 months or longer is likely more effective, potentially due to the time needed to reduce underlying dysbiosis or methane SIBO.",Practical Advice
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",5,Probiotics alone have been shown to remedy and eliminate methane-type small intestinal bacterial overgrowth (SIBO).,Evidence-Based
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",6,"Methane gas directly slows down gastrointestinal motility, which is a significant factor contributing to constipation.",Explanatory
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",7,"A comprehensive meta-analysis of 52 randomized controlled trials (over 6,000 patients) found that probiotics improved overall IBS symptoms and specifically reduced abdominal pain.",Data-Driven
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",8,"Probiotics are not only antibacterial but also possess antifungal and antiparasitic properties, achieved by releasing antimicrobial peptides.",Mechanistic
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",9,"Probiotics modulate the immune system, explaining their broad benefits observed in cognition, depression, limbic system balance, thyroid hormone absorption, anti-COVID effects, skin rashes, IBS, inflammatory bowel disease, constipation, and SIBO.",Holistic Benefit
GUsQnklKljk,https://www.youtube.com/watch?v=GUsQnklKljk,"This Supplement Transforms IBS, SIBO & Candida in 60 Days","Dr. Michael Ruscio, DC, DNM",10,"Saccharomyces boulardii, a fungal probiotic, demonstrated an 83% SIBO resolution rate in a 2022 randomized controlled trial when given at 10 billion CFU per day, compared to 23% in the placebo group.",Evidence-Based
